version,variant,size,regime,protocol,config,seed,f1,precision,recall,balanced_accuracy,auroc,auprc,runtime_seconds,positive_rate,positive_count,test_count,actual_backend,source_path
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,5,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,51.252,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed5.json
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,6,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,50.885,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed6.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,7,0.019083716973625486,0.00966931161979145,0.7238990598713508,0.8070647928911479,0.8880308053556363,0.03466129054383508,187.848,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed7.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,8,0.020263954164675555,0.010277022213587204,0.717890718880328,0.8077661478487215,0.8980622979986794,0.031020256323573216,191.318,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed8.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,7,0.12717979555021047,0.21845412291272165,0.08970099667774087,0.5446129344674165,0.8960312464242889,0.08577134881456491,36.603,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed7.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,8,0.02580560649724915,0.17573595004460305,0.013925213826252916,0.5069142569093328,0.9110386161675772,0.09747240563578992,42.424,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed8.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,7,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,46.141,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed7.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,8,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,47.189,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed8.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,7,0.012960253570794058,0.006529309861575778,0.8602706258222139,0.8207788450415524,0.9207813777123888,0.04085242989961325,230.594,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed7.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,8,0.018083341079978502,0.00914566596811446,0.7951512873520015,0.8256032668247306,0.9249311955513544,0.044251333175434095,223.725,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed8.json
