binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-d20bd70e09149d9b9f22418e,scenario-c949682b1a540d55687d540f,ab27a47b0aec2e56be7cc2a06da5bd6df28d1c7cc3feb3363b2cbf92d410f2eb,transductive_structure,graphsage,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-8e5826fd4c6b67f3e06e850e,scenario-9d6ecf1320d8b0797fa63772,b76a0a629899e7e024469f79a5303ca819a6d748072ac5f3fdab0216ea11e35f,strict_inductive,feature_mlp,5,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-1b47fc618b868b7c6bff64d7,scenario-9d6ecf1320d8b0797fa63772,2070f94c3c92ba3fbca7d7e37532ce7436b2132df7447925c47572625eb38fa3,strict_inductive,gcn,5,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-162314dcee3caf1d8052b43b,scenario-9d6ecf1320d8b0797fa63772,c59001e133e57f2afe72e3e95993393e9c204f41dce8871750b500984e1d8c3e,strict_inductive,graphsage,5,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-1efd7def28aa4f0a736be881,scenario-9d6ecf1320d8b0797fa63772,7cc7513eaef30ea87190177bdf1b70ad196fb96544239b1d30ab28363fd06c7b,isolated_inductive,feature_mlp,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-7e8f903e63f25356d7b935e6,scenario-9d6ecf1320d8b0797fa63772,fc8ebcab24e72c52e48fc0fc5040bf0913525e0211b12a5c848627a7c6a4fd30,isolated_inductive,gcn,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-c597ccd98cd72a22be1c1173,scenario-9d6ecf1320d8b0797fa63772,9c6359637b832d135773cd2eb758bbd4629e7b2b24194bdc6fc8508b8c582ff5,isolated_inductive,graphsage,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-057f2a631bad53307b282507,scenario-9d6ecf1320d8b0797fa63772,a1875e4b7e3bbbc2c45a3672ccc21b075176ec3ebcb187050ae9a3a28cc60558,transductive_structure,feature_mlp,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-f993d7532a8119c6cf39d6b9,scenario-9d6ecf1320d8b0797fa63772,4205813865ac445a9361d66739960bf450a16ae20aa5570d574ee1290d6bd566,transductive_structure,gcn,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-2db4900491b16a44df44d404,scenario-9d6ecf1320d8b0797fa63772,1bd4e09b477a893bbdf696e3590514874f005108cca6a2ef1af0ed18f45dd7cb,transductive_structure,graphsage,5,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
